repo_fullname,commits_count,commits_days_since_first,commits_days_since_last,commits_total_lines_added,commits_total_lines_removed,commits_avg_added,commits_avg_removed,commits_avg_files_changed,commits_avg_message_length,commits_avg_per_day_real,commits_max_per_day,contributors_count,contributors_top_avg_commits,contributors_top_avg_participation_week,contributors_top_avg_additions,contributors_top_avg_deletions,forks_count,forks_avg_per_day,forks_avg_max_per_day,issues_total_comments,issues_count,issues_open,issues_labels,issues_avg_labels,issues_avg_closing_time,issues_avg_comment_time,issues_avg_comments,issues_avg_comment_length,issues_avg_title_length,issues_avg_body_length,issues_avg_per_day,issues_avg_per_day_real,issues_max_per_day,repo_size,repo_topics,repo_branches,repo_age_days,repo_workflows,repo_languages,repo_milestones,repo_watchers,repo_deployments,repo_readme_length,repo_network_members,pulls_count,pulls_total_lines_added,pulls_total_lines_removed,pulls_avg_lines_added,pulls_avg_lines_removed,pulls_avg_closing_time,pulls_avg_comments,pulls_avg_review_comments,pulls_avg_Commits,pulls_avg_body_length,pulls_avg_title_length,pulls_avg_files_changed,pulls_avg_labels,pulls_avg_created_per_day,pulls_avg_created_per_day_real,pulls_max_created_per_day,releases_count,releases_tags,releases_total_downloads,releases_avg_body_length,releases_avg_title_length,releases_avg_assets,releases_avg_assets_downloads,releases_avg_assets_size,stars_count,stars_avg_per_day_real,stars_max_per_day,wf_count,wf_avg_duration,wf_avg_success_duration,wf_avg_failure_duration,wf_avg_successes_per_day,wf_avg_successes_per_day_real,wf_avg_fails_per_day
nuvention-web/Team-I,290,1918,1630,177023,87729,610,303,8,101,6,22,0,0,0,0,0,0,0,0,15,39,7,59,1,0,0,0,91,40,74,0,1,9,12923,0,15,1918,0,4,4,0,62,1413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cezuni/sys-sw-playground,215,1584,1211,1463,1314,7,6,1,19,15,34,44,2,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,1,1584,0,2,0,0,0,591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azure-Samples/storage-table-python-getting-started,10,2073,1609,771,102,77,10,3,78,3,4,3,2,1,26,6,21,0,2,6,4,2,0,0,0,0,1,103,21,128,0,1,1,20,0,1,2073,0,1,0,13,0,2866,21,2,138,109,69,54,0,1,0,1,212,15,3,0,0,1,1,0,0,0,0,0,0,0,0,13,1,1,0,0,0,0,0,0,0
andela/bp-esa-frontend,269,1372,946,875789,871496,3256,3240,8,115,2,16,26,4,2,3340,3225,5,0,1,168,130,5,77,0,0,0,1,271,45,940,0,1,5,4947,0,86,1398,0,5,0,0,139,2846,5,5,80658,471,16131,94,0,0,0,1,952,53,8,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
microsoft/AMBROSIA,1225,1224,22,1676395,1457341,1368,1190,7,61,3,50,17,60,13,884,712,49,0,3,75,123,26,18,0,0,0,0,275,38,347,0,1,4,9224,0,39,1344,1,9,0,399,264,10555,50,9,6622,1151,735,127,0,0,0,7,754,48,13,0,0,1,2,16,16,917,577,49,4,13,16846459,399,2,34,2,0.0192418981481481,0.0192418981481481,0,0,2,0
MicrosoftDocs/VBA-Docs,4588,19095,10,17041947,9127626,3714,1989,57,79,9,142,100,9,2,8189,6309,369,0,4,1963,973,0,67,0,0,0,2,5554,31,87,0,2,37,390241,0,5,1449,0,1,0,273,0,2065,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,1,3,0,0,0,0,0,0,0
microsoft/logrl,16,910,61,1990,465,124,29,3,127,2,5,2,4,2,183,51,8,0,1,6,7,0,6,0,0,0,0,55,62,13698,0,1,1,40,0,1,910,0,1,0,22,0,3807,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,2,0,0,0,0,0,0,0
divya0792/INFO-5100-Project,375,883,850,117818,25693,314,69,8,37,16,87,24,10,1,110,59,24,0,4,0,28,0,0,0,0,0,0,0,15,4,0,2,7,5650,0,11,883,0,2,0,1,0,41,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
popcodeorg/popcode,3827,2473,301,404932,286465,106,75,4,124,5,60,46,39,8,94,80,125,0,3,1809,2520,161,1099,0,0,0,0,308,37,1493,1,3,289,20397,4,13,2458,0,6,4,178,2,11008,125,17,3250,489,191,28,0,2,5,5,882,36,7,0,0,1,1,0,0,0,0,0,0,0,0,178,1,4,0,0,0,0,0,0,0
spacetelescope/diversity_stats,29,1418,1418,2100699,2097398,72438,72324,1,37,29,29,0,0,0,0,0,1,0,1,0,3,2,0,0,0,0,0,0,17,244,0,1,2,124,0,3,1418,0,0,0,0,0,0,1,1,36,0,36,0,0,0,0,2,201,12,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azure/docker-login,28,951,291,28685,27526,1024,983,18,54,2,5,12,1,1,1288,6,32,0,2,78,36,2,9,0,0,0,2,359,36,479,0,1,2,509,0,8,951,3,3,0,84,0,3517,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,784,30,0,0,0,84,1,3,10,0.0608171296296296,0.0607951388888889,2.19907407407407E-05,0,7,0
microsoft/azuredevopslabs,1315,1897,81,197570,85918,150,65,17,63,4,38,52,13,4,167,80,586,0,4,386,616,84,15,0,0,0,0,276,36,607,0,1,8,543761,7,13,1897,0,8,0,546,370,36235,616,4,57,29,14,7,0,0,0,1,5239,29,1,0,0,1,1,0,0,0,0,0,0,0,0,546,1,4,0,0,0,0,0,0,0
spacetelescope/diversity_stats,29,1418,1418,2100699,2097398,72438,72324,1,37,29,29,3,5,1,65679,65630,1,0,1,0,3,2,0,0,0,0,0,0,17,244,0,1,2,124,0,3,1418,0,0,0,0,0,0,1,1,36,0,36,0,0,0,0,2,201,12,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azure/docker-login,28,951,291,28685,27526,1024,983,18,54,2,5,12,1,1,1288,6,32,0,2,78,36,2,9,0,0,0,2,359,36,479,0,1,2,509,0,8,951,3,3,0,84,0,3517,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,784,30,0,0,0,84,1,3,10,0.0608171296296296,0.0607951388888889,2.19907407407407E-05,0,7,0
